label,gloss,accuracy,support
88,thin,0.9999999999995,2
45,go,0.9999999999989999,1
3,argue,0.0,1
4,bad,0.0,1
5,balance,0.0,1
6,bar,0.0,3
7,basketball,0.0,1
8,because,0.0,1
0,accident,0.0,2
2,appointment,0.0,2
11,bird,0.0,1
13,blanket,0.0,1
14,bowling,0.0,1
15,brother,0.0,1
16,call,0.0,2
17,candy,0.0,3
18,champion,0.0,2
19,change,0.0,1
20,cheat,0.0,1
21,check,0.0,1
22,cold,0.0,2
23,computer,0.0,1
24,convince,0.0,2
25,cool,0.0,2
9,bed,0.0,0
10,before,0.0,3
27,cousin,0.0,2
26,corn,0.0,2
31,deaf,0.0,2
28,cry,0.0,1
33,delicious,0.0,1
34,doctor,0.0,1
35,dog,0.0,2
29,dark,0.0,2
36,drink,0.0,1
37,environment,0.0,1
40,far,0.0,2
38,example,0.0,2
41,fat,0.0,1
42,fish,0.0,1
43,full,0.0,1
32,delay,0.0,2
46,good,0.0,2
47,government,0.0,1
49,help,0.0,2
51,interest,0.0,2
52,language,0.0,2
53,last,0.0,2
55,laugh,0.0,2
56,leave,0.0,1
57,letter,0.0,1
58,like,0.0,2
62,move,0.0,2
63,no,0.0,1
65,order,0.0,2
66,perspective,0.0,1
67,pizza,0.0,2
44,give,0.0,2
68,play,0.0,2
69,ready,0.0,2
71,sandwich,0.0,1
70,room,0.0,2
73,secretary,0.0,1
74,shirt,0.0,2
75,short,0.0,1
72,score,0.0,2
77,snow,0.0,1
79,soon,0.0,2
80,speech,0.0,2
81,study,0.0,1
82,sweet,0.0,2
83,take,0.0,2
84,tall,0.0,1
76,silly,0.0,2
85,tell,0.0,1
86,thanksgiving,0.0,1
87,theory,0.0,1
90,toast,0.0,2
91,trade,0.0,1
92,wait,0.0,1
93,walk,0.0,1
94,what,0.0,3
95,white,0.0,1
96,who,0.0,1
98,woman,0.0,1
99,work,0.0,1
100,write,0.0,1
101,year,0.0,2
102,yes,0.0,1
103,yesterday,0.0,1
